0.0000	3	-0.1390
4.0000	3	-0.1890
8.0000	3	-0.3890
18.0000	3	0.2110
24.0000	3	-0.1890
28.0000	3	0.0110
38.0000	3	0.1610
42.0000	3	-0.2390
46.0000	3	-0.0890
52.0000	3	0.2610
56.0000	3	-0.2390
62.0000	3	0.1110
74.0000	3	-0.2890
78.0000	3	0.0610
82.0000	3	-0.2890
86.0000	3	0.0110
90.0000	3	0.3610
94.0000	3	0.0610
98.0000	3	-0.1390
102.0000	3	0.0110
106.0000	3	0.1610
110.0000	3	-0.1890
116.0000	3	-0.1390
120.0000	3	-0.1390
126.0000	3	0.3610
130.0000	3	0.2610
134.0000	3	-0.2390
140.0000	3	0.3610
148.0000	3	-0.3890
156.0000	3	-0.3390
160.0000	3	0.2110
164.0000	3	-0.1890
170.0000	3	0.3610
174.0000	3	0.1610
178.0000	3	-0.2890
182.0000	3	0.1610
192.0000	3	0.2610
202.0000	3	0.0610
208.0000	3	0.2110
212.0000	3	0.3110
220.0000	3	0.1610
224.0000	3	0.1610
234.0000	3	0.1110
238.0000	3	0.2110
246.0000	3	-0.1890
250.0000	3	0.2110
256.0000	3	0.1610
260.0000	3	-0.0390
266.0000	3	0.3110
272.0000	3	0.3110
280.0000	3	-0.0390
284.0000	3	-0.2390
296.0000	3	0.2610
310.0000	3	0.1610
316.0000	3	0.2110
320.0000	3	0.0610
324.0000	3	-0.0390
330.0000	3	0.3110
336.0000	3	-0.0890
342.0000	3	-0.3890
346.0000	3	-0.3390
350.0000	3	0.2110
360.0000	3	0.3110
364.0000	3	0.1110
368.0000	3	0.0110
374.0000	3	-0.2890
378.0000	3	-0.2390
382.0000	3	-0.0890
386.0000	3	-0.3390
398.0000	3	-0.3890
402.0000	3	-0.1890
408.0000	3	-0.3390
412.0000	3	0.1610
416.0000	3	-0.1890
420.0000	3	0.3610
424.0000	3	-0.2890
428.0000	3	0.1110
436.0000	3	-0.0390
440.0000	3	-0.3890
444.0000	3	0.3610
448.0000	3	-0.0390
458.0000	3	-0.2390
462.0000	3	0.2610
466.0000	3	0.0110
470.0000	3	-0.1390
474.0000	3	-0.0390
